Distance (ft),Raw RSSI Median,Range of RSSI,Mean
1,-62,"(-63, -60)",-61.53
2,-75,"(-78, -70)",-74.52
3,-73,"(-75, -68)",-73.03
4,-75,"(-84, -72)",-75.50505051
5,-74,"(-79, -73)",-75.11
6,-78,"(-81, -73)",-77.96
7,-76,"(-78, -74)",-76.16161616
8,-80,"(-84, -78)",-80.18
9,-81.5,"(-83, -80)",-81.62
10,-82,"(-83, -80)",-81.54545455
11,-81,"(-83, -79)",-81.11
12,-79,"(-83, -77)",-78.97
13,-81,"(-83, -79)",-80.6969697
14,-77,"(-78, -76)",-76.67
15,-77,"(-80, -76)",-77.27
16,-80,"(-82, -77)",-79.68
17,-81,"(-82, -79)",-80.46
18,-85,"(-86, -83)",-84.62626263
19,-82,"(-85, -80)",-82.25
20,-77,"(-78, -76)",-77.2
