Distance (ft),Raw RSSI Median,Range of RSSI,Mean
1,-59.0,"(-60, -58)",-58.75
2,-63.0,"(-65, -60)",-62.37
3,-71.0,"(-73, -68)",-70.7
4,-70.0,"(-71, -67)",-69.37
5,-67.0,"(-70, -64)",-66.65
6,-72,"(-75, 127)",-70.47474747474747
7,-72.0,"(-74, -69)",-72.21
8,-69.0,"(-75, -68)",-69.79
9,-76,"(-78, 127)",-73.63636363636364
10,-77.0,"(-78, -76)",-77.13
11,-73.0,"(-74, -72)",-73.16
12,-71.0,"(-72, -70)",-71.17
13,-75.0,"(-76, -74)",-75.22
14,-73,"(-75, 127)",-71.37373737373737
15,-76.0,"(-78, -75)",-75.89
16,-77.0,"(-80, -75)",-76.87
17,-71,"(-72, -70)",-71.0909090909091
18,-74.0,"(-75, -73)",-74.06
19,-72.0,"(-72, -70)",-71.61
20,-74,"(-76, 127)",-72.26262626262626
